Date,polarity,nlp_signal
10/5/15,-0.3,1
10/6/15,0.136363636,1
10/7/15,-0.208333333,-1
10/8/15,0,0
10/9/15,0,0
10/12/15,0,0
10/13/15,0.15952381,1
10/14/15,0.7,1
10/15/15,0.285714286,1
10/16/15,0.6,1
10/19/15,0,0
10/20/15,0.1,1
10/21/15,0,0
10/22/15,0,0
10/23/15,0,0
10/26/15,0,0
10/27/15,0,0
10/28/15,0,0
10/29/15,0,0
10/30/15,0,0
11/2/15,0,0
11/3/15,0.229166667,1
11/4/15,0,0
11/5/15,0,0
11/6/15,0,0
11/9/15,0,0
11/10/15,0,0
11/11/15,-0.2,-1
11/12/15,0,0
11/13/15,0,0
11/16/15,0,0
11/17/15,0,0
11/18/15,0,0
11/19/15,0,0
11/20/15,0,0
11/23/15,0,0
11/24/15,0,0
11/25/15,0.4,1
11/27/15,0,0
11/30/15,0.1,1
12/1/15,-0.375,-1
12/2/15,0,0
12/3/15,0.5,1
12/4/15,0,0
12/7/15,0.1,1
12/8/15,0.2,1
12/9/15,0,0
12/10/15,0.678571429,1
12/11/15,0.55,1
12/14/15,0,0
12/15/15,0,0
12/16/15,0.227272727,1
12/17/15,0.227272727,1
12/18/15,0.227272727,1
12/21/15,0,0
12/22/15,0,0
12/23/15,0.227272727,1
12/24/15,0.2,1
12/28/15,0,0
12/29/15,1,1
12/30/15,0,0
12/31/15,0,0
1/4/16,0,0
1/5/16,0.4,1
1/6/16,0.1,1
1/7/16,0.2,1
1/8/16,0.433333333,1
1/11/16,0,0
1/12/16,0,0
1/13/16,0.6,1
1/14/16,1,1
1/15/16,-0.4,-1
1/19/16,0.433333333,1
1/20/16,-0.077777778,-1
1/21/16,1,1
1/22/16,0,0
1/25/16,0,0
1/26/16,0.433333333,1
1/27/16,0.5,1
1/28/16,0,0
1/29/16,0.433333333,1
2/1/16,0,0
2/2/16,0,0
2/3/16,0.1,1
2/4/16,0.433333333,1
2/5/16,0,0
2/8/16,0.55,1
2/9/16,0.666666667,1
2/10/16,0,0
2/11/16,0.7,1
2/12/16,0.1,1
2/16/16,0.18,1
2/17/16,0.5,1
2/18/16,0.18,1
2/19/16,0,0
2/22/16,0.8,1
2/23/16,0.566666667,1
2/24/16,0.18,1
2/25/16,0,0
2/26/16,0,0
2/29/16,0,0
3/1/16,0.227272727,1
3/2/16,-0.6,-1
3/3/16,0,0
3/4/16,0.227272727,1
3/7/16,0.227272727,1
3/8/16,0,0
3/9/16,0.2,1
3/10/16,0,0
3/11/16,0,0
3/14/16,0,0
3/15/16,0.227272727,1
3/16/16,0.016666667,1
3/17/16,0,0
